Response.No.;Age;Region;Along.the.coast;Deep.sea;In.the.reef.area;Other;q19boatsize;q20gearBasket;q20gearhandline;q20gearVerticalline;q20gearLargeNet;q20gearGillnet;q20gearOthers;q21engine1;q32Fisnearfad;q60rainy1n0;q63m3s2l1;q64summ1l0;q65winm1l0;q66m3s2l1;q13edu;q14house;q15source;q16age;q17ageregis;q170t.registered;q18fishinboat;;q19exatsize;q19other;q19othersize;;;;;;;;q21engine2;q21other;q22boat;q22boatrange;q22engine;q22enginerange;q22equip;q22equiprange;q22line;q22linerange;q22other;q22tot;q22totrange;q22tot.c;q23homeport;q24homecellA;q25freqloca;q26month;q26times;q27monthmore;q27monthmorerange;Q28wcell1;Q28wcell2;Q28wcell3;Q28wcell4;Q28wcell5;Q28wcell6;Q28wcell7;Q28wcell8;q29Scell1;q29Scell2;q29Scell3;q29Scell4;q29Scell5;q29Scell6;q29Scell7;q29Scell8;q30FADgood;q31FADtrain;;q32why;q33change;q34goodapp;q35;q36fadhelp;q37expl;q38Y1cell;q39Y2cell;q40FADtotal.kg;q41F1name;q41code;q41F1min;q41F1max;q41F2name;q41F2code;q41F2min;q41F2max;q41F3name;q41F3code;q41F3min;q41F3max;q42fadtimes;q43sumname1;q43sumcode1;q43summin1;q43fssummax1;q43sumname2;q43sumcode2;q43summin2;q43fssummax2;q43sumname3;q43sumcode3;q43summin3;q43fssummax3;q43winname1;q43winname1.1;q43winmin1;q43fswinmax1;q43winname2;q43winname2.1;q43winmin2;q43fswinmax2;q43winname3;q43winname3.1;q43winmin3;q43fswinmax3;q44fadmore;q44Dynamic;q45FADmorecell;q46name1;q46name1code;q46name2;q46name2code;q46name3;q46name3code;q46name4;q46name3code.1;q47seamore;q48s0w1;q49less;q50;q51sealess;q52s0w1;q53twofads;q54name1;q54name1code;q54name2;q54name2code;q54name3;q54name3code;q54name4;q54name3code.1;q55temy1n0;q56desc;q57temtime;q57temtimerange;q58fsbehsum;q59fsbewin;q60rainy1n0;q60rainS2DK3;q611when;q611when..range;q62rainb0a4;q62rainb0a4both2DK3;q63m3s2l1;q64summ1l0;q64summ1l0S2DK3;q65winm1l0;q65winm1l0S2DK3;q66m3s2l1;q67n0y1;q67name1;q67name1code;q67name2;q67name2code;q67name3;q67name3code;q67name4;q67name4code;q67name5;q67name5code;q68M3L1s2;q69accnum;q70y1n0;q71usey1n0;q72example;q73Xcell;id;q73X2cell;q74measure;DistanceFADS;q75weather;q75weathernight;q76fami;q77n1q2h3nf4fm5m6mt7;q78fishingtrip;q79selec;q80totalcatch.kg;q81numfisher;q82fsname1;q82fsname1code;q82fsweight1;q82fslen1;q82fsname2;q82fsname2code;q82fsweight2;q82fslen2;q82fsname3;q82fsname3code;q82fsweight3;q82fslen3;q82fsname4;q82fsname4code;q82fsweight4;q82fslen4;q82fsname5;q82fsname5code;q82fsweight5;q82fslen5;q82fsname6;q82fsname6code;q82fsweight6;q82fslen6;q82fsname7;q82fsname7code;q82fsweight7;q82fslen7;q82fsname8;q82fsname8code;q82fsweight8;q82fslen8;q82fsname9;q82fsname9code;q82fsweight9;q82fslen9;q82fsname10;q82fsname10code;q82fsweight10;q82fslen10;q82fsname11;q82fsname11code;q82fsweight11;q82fslen11;q82fsname12;q82fsname12code;q82fsweight12;q82fslen12;q82fsname13;q82fsname13code;q82fsweight13;q82fslen13;q82fsname14;q82fsname14code;q82fsweight14;q82fslen14;q82fsname15;q82fsname15code;q82fsweight15;q82fslen15;q82fsname16;q82fsname16code;q82fsweight16;q82fslen16;q82fsname17;q82fsname17code;q82fsweight17;q82fslen17;q82fsname18;q82fsname18code;q82fsweight18;q82fslen18;q82fsname19;q82fsname19code;q82fsweight19;q82fslen19;q82fsname20;q82fsname20code;q82fsweight20;q82fslen20;q82fsname21;q82fsname21code;q82fsweight21;q82fslen21;q82fsname22;q82fsname22code;q82fsweight22;q82fslen22;q82fsname23;q82fsname23code;q82fsweight23;q82fslen23;q82fsname24;q82fsname24code;q82fsweight24;q82fslen24;q82fsname25;q82fsname25code;q82fsweight25;q82fslen25;q82fsname26;q82fsname26code;q82fsweight26;q82fslen26;q82fsname27;q82fsname27code;q82fsweight27;q82fslen27;q82fsname28;q82fsname28code;q82fsweight28;q82fslen28;q82fsname29;q82fsname29code;q82fsweight29;q82fslen29;q82fsname30;q82fsname30code;q82fsweight30;q82fslen30;q82fsname31;q82fsname31code;q82fsweight31;q82fslen31;q82fsname32;q82fsname32code;q82fsweight32;q82fslen32;q82fsname33;q82fsname33code;q82fsweight33;q82fslen33;q82fsname34;q82fsname34code;q82fsweight34;q82fslen34;q82fsname35;q82fsname35code;q82fsweight35;q82fslen35;q82fsname36;q82fsname36code;q82fsweight36;q82fslen36;q82fsname37;q82fsname37code;q82fsweight37;q82fslen37;q82fsname38;q82fsname38code;q82fsweight38;q82fslen38;q82fsname39;q82fsname39code;q82fsweight39;q82fslen39;q82fsname40;q82fsname40code;q82fsweight40;q82fslen40;q82fsname41;q82fsname41code;q82fsweight41;q82fslen41;q82fsname42;q82fsname42code;q82fsweight42;q82fslen42;q82fsname43;q82fsname43code;q82fsweight43;q82fslen43;q82fsname44;q82fsname44code;q82fsweight44;q82fslen44;q82fsname45;q82fsname45code;q82fsweight45;q82fslen45;q82fsname46;q82fsname46code;q82fsweight46;q82fslen46;q82fsname47;q82fsname47code;q82fsweight47;q82fslen47;q82fsname48;q82fsname48code;q82fsweight48;q82fslen48;q82fsname49;q82fsname49code;q82fsweight49;q82fslen49;q82fsname50;q82fsname50code;q82fsweight50;q82fslen50;q82fsname51;q82fsname51code;q82fsweight51;q82fslen51;q82totaweight;q83fuelD0E1;q84fuelcost;costper.km;q84days;q86fishers;q87numbask;q88height;q88width;q88length;q90lengthwillingness;Questionlouche
55;54;East;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor  power 9-25;0;0;2;0;0;1;3;3;1;13;20;;1;;20;;;;;;;;;;;;100000;;60000;;20000;;2000;;;182000;;165-260k;Remy ollier, Mahebourg;12949;3;December;20;May;;14952;14955;14299;;;;;;14817;14553;14031;;;;;;0;0;;Too far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Decrease fish;3;;Less fish;decrease in temperature;0;;;;;3;2;0;;0;;1;1;Giblot;47;Bordemare;15;Rouget Roche;86;;;;;1;;1;0;sometimes unreliable, sometimes wrong prediction.;13626;13626;;15.5;3.1;2;;1;2;8;1;5;3;Bourse;18;500;20;Vielle;111;500;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;700;45;1;3;15;1.22;2;2,13;1;
56;65;West;1;1;0;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor  power 9-25;0;1;3;0;;1;3;1;1;17;40;;0;;8;;;;;;;;;;;6;10000;;75000;;;;;;;10000;;<75k;Le Morne;7861;4;December;31;December;;7727;7726;;;;;;;7727;7726;;;;;;;1;0;;Legs nearly paralysed, and can only manage to fish in lagoon;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;winter colder;10;;Moving slowly 0w. Due to hotel waste and ru0ff of herbicides from agricultural activities;0 more cordonier because many coral reefs died;1;;10;;0;;3;0;;;3;1;1;Mullet;66;;;;;;;;;3;;1;1;Bad weather;7726;7726;;1.5;4.8;2;;1;2;8;1;5;0;Mullet;66;500;35;Mullet;66;500;35;Mullet;66;500;35;Mullet;66;500;35;Mullet;66;500;35;Cato;30;3000;30;Cato;30;3000;30;Cato;30;3000;;Cato;30;3000;;Cato;30;3000;;Cato;30;3000;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25500;;;;;;;;;;1;
57;72;West;0;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor  power 9-25;0;1;3;0;0;1;4;1;1;30;37;;1;;24;;;;;;;;;;2;;75000;;75000;;;;15000;;;165000;;75-165k;Le Morne;7861;4;December;31;;November-December;7727;7726;7592;;;;;;7726;7592;7591;;;;;;1;1;;Dangerous, far and need more experience;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;hotter in summer, climatic condition 0t same;10;;Less fish and less octopus;Less fish and less octopus. number. of fishers increased thus less fish;1;;10;;0;;3;0;;0;;1;1;Calamar;24;;;;;;;;;3;;1;1;Bad weather;7592;7592;;3;3.3;4;;1;5;8;1;15;1;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Rouget;83;250;;Mullet;66;500;30.4;Mullet;66;500;30.4;Mullet;66;500;30.4;Mullet;66;500;30.4;Carangue;27;500;;Carangue;27;1000;;Carangue;27;1000;;Cordonnier;38;1000;;Cordonnier;38;1000;;Corne;39;1000;;Corne;39;750;;Corne;39;750;;Capitaine;25;500;;Capitaine;25;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11750;1;300;100;;1;3;2.5;1;1;1;
58;92;West;1;1;1;0;Wooden Pirogue > 8 m;1;1;0;0;0;0;Outboard motor  power 9-25;0;1;3;1;0;1;1;1;1;18;21;;1;;27;;;;;;;;;;;;15000;;15000;;;;6000;;;36000;;<75k;Le Morne;7861;4;December;31;;November-December;7726;7593;;;;;;;7726;7592;7593;7458;;;;;1;1;;Too far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;summer and winter is the same, less fish;20;;Used to get closer to the coast, but now hardly find any due to depletion of the sea;winter worst, no fish ar all;1;;10;;1;;3;1;;0;;1;1;Gros vielle Canal;48;;;;;;;;;3;45;1;0;no judge weather on her own;7458;7458;;4;3.75;1;;1;6;8;1;10;3;Bourse;18;1000;;Bourse;18;1000;;Bourse;18;1000;;Bourse;18;1000;;Bourse;18;1000;;Bourse;18;1000;50;Bourse;18;1000;;Bourse;18;1000;;Bourse;18;1000;;Capitaine;25;900;;Capitaine;25;900;;Capitaine;25;900;;Capitaine;25;900;;Capitaine;25;900;;Capitaine;25;900;;Capitaine;25;900;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17500;1;200;50;2;3;5;2.5;1;1;1;
59;65;West;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor power <8;0;1;2;1;;1;3;1;1;20;25;;1;;26;;;;;;;;;;;;115000;;100000;;;;;;;215000;;165-260k;Le Morne;7861;4;December;31;December;;7727;7593;7592;;;;;;7727;7459;7458;7324;;;;;1;1;;Too far and need more fuel;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;warmer than before;10;;hardly any fish in lagoon. Go deeper to fish. Due to illegal fishing;Japanese Fishing;1;;5;;0;;2;1;;;3;1;1;Thon;99;;;;;;;;;3;40;1;0;use own expertise to judge weather;7458;7324;;4.25;3.75;1;;1;2;8;4;15;1;Corne;39;907;;Corne;39;907;;Corne;39;907;;Corne;39;907;;Corne;39;1360,78;;Capitaine;25;907;;Capitaine;25;907;;Capitaine;25;907;;Capitaine;25;907;;Capitaine;25;907;;Capitaine;25;907;;Capitaine;25;2267;;Capitaine;25;2267;;Capitaine;25;2267;;Capitaine;25;2267;;Capitaine;25;2267;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;Berri rouge;13;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24265.78;1;250;59;1;1;3;2.5;1;1;1;
60;53;South;0;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor power <8;0;1;3;1;0;1;2;1;1;14;22;;1;;21;;;;;;;;;;;;70000;;67000;;;;;;;137000;;75-165k;Le Morne;7861;4;December;31;December;;7726;7592;7725;;;;;;7726;7592;7591;;;;;;1;1;;Too far and buoy broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Since first tsunami, less fish. Lagoon blocked when sea level rises, it covers everywhere;10;;less and less octopus, due to wrong closing season of octopus. Less fish;Should change season to fish with net;1;;10;;0;;3;1;;0;;1;1;Octopus;69;;;;;;;;;3;50;1;1;listen to moon phase;7592;7591;;3;;2;;2;3;24;1;9;0;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Vielle;111;500;;Vielle;111;500;;Capitaine;25;1000;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1000;;Capitaine;25;1000;;Cordonnier;38;1000;;Cordonnier;38;1000;;Cordonnier;38;1000;;Cordonnier;38;1000;;Cato;30;1000;;Cato;30;1000;;Cato;30;1000;;Cato;30;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19000;1;300;100;2;0;3;2.5;1;1;1;
61;66;West;0;1;1;0;Wooden Pirogue < 8 m;0;0;0;0;0;1;Outboard motor power <8;0;1;3;1;0;1;2;1;1;15;20;;1;;19;;;;;;;;;;;;30000;40000-45000;35000;;;;20000;;;85000;95000-100000;75-165k;Le Morne;7861;2;December;31;December;;7726;7725;7727;;;;;;7726;7591;7592;;;;;;1;1;;Too far and got news FADs broken. Don’t't know if repaired or not;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Weather conditions keep changing;10;;0 fish in corals. Corals are dead. Must go deeper and outside reef area;less and merely no fish at all;1;;12,5;10-15 years;1;;3;1;;0;;1;1;Carandine;26;;;;;;;;;3;30;1;1;weather conditions;7592;7593;;3;;2;;2;2;8;1;10;0;Berri Rouge;13;500;30;Berri Rouge;13;500;30;Berri Rouge;13;500;30;Berri Rouge;13;500;30;Capitaine;25;1000;;Capitaine;25;3000;50;Capitaine;25;3000;;Capitaine;25;1000;;Capitaine;25;2267;;Capitaine;25;2267;;Capitaine;25;2267;;Capitaine;25;2267;;Corne;39;2267;;Corne;39;2267;;Corne;39;2267;;Corne;39;2267;;Cato;30;2267;;Cato;30;2267;;Cato;30;2267;;Cato;30;2267;;Cato;30;2267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38471;1;225;75;3;0;;;;;1;
62;66;West;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;1;Outboard motor  power 9-25;0;1;3;1;0;1;1;1;1;29;30;;1;;21;;;;;;;;;;;;30000;;25000;;3500;;1000;;;60000;;<75k;Le Morne;7861;4;December;31;December;;7593;7726;7592;;;;;;7728;7593;7592;;;;;;1;1;;No FADs in the region;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Temperature continues to rise;15;;Must go deeper to fish;Winter worst case, hardly find fish;1;;10;;0;;3;1;;0;;1;1;Vielle Rouge;119;;;;;;;;;3;40;1;1;weather conditions;7592;7457;;3;0;3;;2;5;8;4;10;1;Corne;39;1500;;Corne;39;1500;;Corne;39;2267;;Corne;39;2267;;Corne;39;1500;;Corne;39;1500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Berri Rouge;13;500;;Capitaine;25;1500;;Capitaine;25;1500;;Capitaine;25;1500;;Cordonnier;38;1500;;Cordonnier;38;1500;;Cordonnier;38;1500;;Cato;30;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26034;1;800-400;;2;1;5;2.5;1;1;1;
63;69;South;1;1;1;0;Wooden Pirogue < 8 m;0;1;0;1;0;0;Outboard motor power <8;0;1;3;0;1;1;4;1;1;15;18;;1;;21;;;;;;;;;;2;;50000;;40000;;;;;;75000;165000;;75-165k;Baie du cap;8537;4;December;31;December;;8404;8405;8538;;;;;;8538;8539;8405;;;;;;1;1;;Too far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Seasons have changed. Summer hotter;12,5;10-15 years;More and more fish are disappearing;Maybe due to pollution;1;;10;;2;;3;0;;1;;1;1;Barber;6;Rouget;83;Poisson aiguille;72;;;;;3;50;1;0;Prefer to use own experience, such as colour of cloud, condition of sea. Meteo is unreliable as it give information in general;8639;8639;;3;;2;;1;3;8;4;30;1;Mullet;66;1500;30,48;Mullet;66;1500;30,48;Mullet;66;1500;30,48;Mullet;66;1500;30.48;Mullet;66;1500;30,48;Mullet;66;1500;30.48;Carpe;28;5000;;Carpe;28;1000;;Carpe;28;2067;;Capitaine;25;2067;;Capitaine;25;2067;;Capitaine;25;2067;;Capitaine;25;2067;;Capitaine;25;2067;;Cato;30;2067;;Cato;30;2067;;Cato;30;2067;;Cato;30;2067;;Berri;11;500;;Berri;11;500;;Berri;11;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35103;1;250;83;;;;;;;1;
64;64;West;1;1;1;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor  power 9-25;0;1;1;0;0;1;3;1;0;16;20;;1;;19;;;;;;;;;;;;45000;;35000;;;;20000;;;1,00E+05;;75-165k;Le Morne;7861;4;December;31;;November-December;7727;7726;7592;;;;;;7727;7593;7592;;;;;;1;1;;Broken. Very far;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;temperature has increased a lot, especially in summer.;10;;Less fish. Due  to corals dying and pollution.;illegal fishing;1;;10;;2;;1;0;;0;;1;1;Barber;6;;;;;;;;;3;50;1;1;To know about moon phase. Don't rely too much on meteo, use own experience.;7592;7725;;2.5;3.3;2;;1;2;8;1;10;1;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Mullet;66;1500;;Mullet;66;1500;;Mullet;66;1500;40;Mullet;66;1500;40;Mullet;66;1500;40;Mullet;66;1500;40;Corne;39;1500;50;Corne;39;1500;50;Corne;39;1500;50;Capitaine;25;1500;40;Capitaine;25;1500;40;Berri;11;500;;Berri;11;500;;Berri;11;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21500;1;250;100;2;1;3;2.5;1;1;2;
65;62;West;0;1;1;0;Wooden Pirogue < 8 m;1;0;0;0;0;1;Outboard motor power <8;0;1;1;1;0;1;1;1;1;15;20;;1;;18;;;;;;;;;;;;115000;;100000;;;;15000;;;230000;;165-260k;Le Morne;7861;4;December;31;December;;7726;7726;7725;;;;;;7726;7592;7591;7458;;;;;1;1;;Too far and FADs broken;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;15;;Low catch level. Must go deeper/further to catch any fish;May come back home empty hands. Due to japanese illegal fishing practices and many fishers from other regions come to fish at au Morne;1;;12,5;10-15 years;2;;1;1;;0;;1;1;Vielle Rouge;119;;;;;;;;;3;30;1;0;Use info from online website for more precise info;7592;7727;;3.5;;1;;1;2;8;1;8;0;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Carpe;28;2000;;Carpe;28;2000;;Carpe;28;2000;;Carpe;28;2000;;Carpe;28;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;Capitaine;25;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32500;1;250;71;2;0;3;1;1;1;2;
66;37;South;1;1;1;0;Fibre glass;1;0;0;0;0;1;Outboard motor power <8;0;0;3;1;0;1;2;2;0;15;;NR;1;;19;Fibre glass;19;;;;;;;;2;;75000;;25000;;2000;;1000;;;103000;;75-165k;Le Morne village;8268;1;December;10;;December-January;7995;7459;7993;;;;;;8672;8271;7995;;;;;;1;0;;Too far and sometimes there is no fish there;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;Fish do not come out of coral;0;;;;;;3;1;;0;;1;1;Cato gaumon;32;;;;;;;;;2;;1;1;Bad weather. Guetter si bizin met bato a terre ou al ale la peche ou non;8672;8672;;4;;1;;1;3;4;4;11;1;Cato;30;500;;Cato;30;1000;;Cato;30;500;;Cato;30;500;;Corne;39;1500;;Corne;39;1500;;Corne;39;1500;;Corne;39;2000;;Rouget;83;500;;Rouget;83;200;;Rouget;83;300;;Rouget;83;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10500;1;220;55;2;1;6;1;2;2;1;
67;63;South;1;1;1;0;Fibre glass;1;1;0;0;0;0;Outboard motor power <8;0;1;3;0;0;1;2;1;1;14;30;;1;;19;Fibre glass;19;;;;;;;;;;80000;;25000;;2000;;1000;;;108000;;75-165k;Le Morne village;8133;1;December;20;;December-January;7993;7325;8263;;;;;;8672;8406;;;;;;;1;1;;Too far. Also fisher too old;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Water temperature has increased, even in winter;6,5;6-7 years;Plis poisson p ale parti en dehors lagon;Less fish;1;;3,5;3-4 years;;;3;0;;0;;1;1;Akang;1;Lalo;53;Cato gaumon;32; Gueule pave;49;;;3;;1;1;bad weather and heplp in taking precaution before going fishing;8538;8538;;4;5.5;1;;1;3;4;1;7;2;Cato;30;1000;;Cato;30;500;;Cato;30;500;;Rouget;83;500;;Rouget;83;500;;Madame tomber;60;1500;;Madame tomber;60;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6500;1;220;55;2;2;4;1;2;2;1;
68;59;South;1;1;1;0;Fibre glass;1;1;0;1;0;0;Outboard motor  power 9-25;0;1;3;1;;1;2;1;1;17;20;;1;;20;Fibre glass;20;;;;;;;;;;75000;;25000;;2000;;1000;;;103000;;75-165k;Le Morne Village;8134;1;December;25;;December-January;7728;7194;7596;;;;;;7595;7059;7460;;;;;;1;1;;Too far. Pas ggner mm poisson. Mais kapv servi li kuma repere;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Colder in winter, hotter in summer;10;;no change;Less fish in winter;1;;10;;;;3;1;;;2;1;1;Cato bleu;31;Akang;1;;;;;;;3;25;1;1;Bad weather;7595;7595;;5.25;11.75;3;;1;3;4;1;15;1;Cato;30;500;;Cato;30;500;;Cato;30;1000;;Cato;30;1000;;Cato;30;500;;Cato;30;500;;Cato;30;1000;;Rouget;83;1500;;Rouget;83;1000;;Rouget;83;500;;Rouget;83;500;;Rouget;83;500;;Corne;39;2500;;Corne;39;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14000;1;250;48;1.5;1;6;1;2;2;1;
